Spotify URI,Voter ID,Created,Points Assigned,Comment,Round ID
spotify:track:1xpd5XqLsrQDBa81ON2kOb,8b2aef69bc584c05921d0ae5565d6ffa,2023-01-30T21:07:40Z,2,,750351fa296b463299607f8607a12830
spotify:track:2Gd9ME5OKuzUB0QAT1HtL0,8b2aef69bc584c05921d0ae5565d6ffa,2023-01-30T21:07:40Z,1,,750351fa296b463299607f8607a12830
spotify:track:4H1ttBCmT7cqvGJLqfHbED,8b2aef69bc584c05921d0ae5565d6ffa,2023-01-30T21:07:40Z,3,,750351fa296b463299607f8607a12830
spotify:track:5hcer4MP5GeHqtSjDYx5AC,8b2aef69bc584c05921d0ae5565d6ffa,2023-01-30T21:07:40Z,4,,750351fa296b463299607f8607a12830
spotify:track:18ZOH3KKu5Elt5ysocFyX4,1422560e770a4897ab67503868575a46,2023-01-30T21:23:17Z,2,Randall,750351fa296b463299607f8607a12830
spotify:track:2Gd9ME5OKuzUB0QAT1HtL0,1422560e770a4897ab67503868575a46,2023-01-30T21:23:17Z,0,Brandon,750351fa296b463299607f8607a12830
spotify:track:4ACxa9buEUnOdYEoPcnMpi,1422560e770a4897ab67503868575a46,2023-01-30T21:23:17Z,2,Erik,750351fa296b463299607f8607a12830
spotify:track:5hcer4MP5GeHqtSjDYx5AC,1422560e770a4897ab67503868575a46,2023-01-30T21:23:17Z,2,Erik,750351fa296b463299607f8607a12830
spotify:track:6YyqULhTNU7AKaKJKChluQ,1422560e770a4897ab67503868575a46,2023-01-30T21:23:17Z,3,Randall,750351fa296b463299607f8607a12830
spotify:track:7BAA2stprbayDqZ7eGZqUl,1422560e770a4897ab67503868575a46,2023-01-30T21:23:17Z,0,Brandon,750351fa296b463299607f8607a12830
spotify:track:7E81YAfHOaSlnevLjKMghT,1422560e770a4897ab67503868575a46,2023-01-30T21:23:17Z,0,Ryan,750351fa296b463299607f8607a12830
spotify:track:7ojJ4XvqBhBcteM0zjMebT,1422560e770a4897ab67503868575a46,2023-01-30T21:23:17Z,1,Ryan,750351fa296b463299607f8607a12830
